General,North-Caucasus Federal University,Stavropol + Pyatigorsk + Nevinnomyssk,65,Yes,"Multidisciplinary federal university with sciences, engineering and humanities.","Jan, July",Morning,Yes,"Econ, CS, Law"
"Engineering, Technology, IT",Saint Petersburg State University of Aerospace Instrumentation,Saint Petersburg,70,Yes,Applied engineering & instrumentation programs with labs and tech projects.,"Jan, July",Morning,Some,"Eng Tech, CS, Mech Eng"
"Engineering, Mining, Geo Sci",Saint Petersburg Mining University,Saint Petersburg,75,Yes,"Specialist in mining, geology, materials and engineering.","Jan, July",Morning,Some,"Mining Eng, Geo Sci, Materials"
Engineering & Tech,Don State Technical University,Rostov?on?Don,70,Yes,Tech and applied engineering with industrial labs.,"Jan, July",Morning,Some,"Mech Eng, Elec Eng, IT"
Engineering & Tech,Samara State Technical University,Samara,68,Yes,Broader engineering and technical programs.,"Jan, July",Morning,Some,"Mech, CS, Elec Eng"
Engineering,Tomsk State University of Control Systems & Radioelectronics,Tomsk,70,Yes,Specialised in radioelectronics & systems control.,"Jan, July",Morning,Some,"Radio Eng, CS, Systems Eng"
Engineering,Mendeleev University of Chemical Technology of Russia,Moscow,70,Yes,"Chemical technology, materials science labs.","Jan, July",Morning,Some,"Chem Tech, Materials"
Engineering,Volgograd State Technical University,Volgograd,68,Yes,Broad tech and engineering with labs.,"Jan, July",Morning,Some,"Elec Eng, Mech Eng"
"Engineering, IT",Moscow Technological University,Moscow,70,Yes,Tech & IT oriented degrees with labs.,"Jan, July",Morning,Yes,"CS, IT, Eng"
"Social Sciences, Managmt",Russian State Social University (RSSU),Moscow,65,Some,"Social sciences, education, public admin.","Jan, July",Morning,Yes,"Soc Sci, Law, Edu"
"Management, Econ",Russian Presidential Academy of National Economy & Public Administration (RANEPA),Moscow,70,Some,"Management, pub admin, econ & business programs.","Jan, July",Morning,Yes,"MBA, Public Admin, Econ"
"Humanities, Lang",Moscow State Linguistic University (MSLU),Moscow,65,Some,"Languages, translation, humanities.","Jan, July",Morning,Yes,"Lang Studies, Linguistics"
"Social Sciences, Humanities",Russian State University for the Humanities (RSUH),Moscow,65,Some,"Arts, humanities & social studies.","Jan, July",Morning,Yes,"History, Phil, Soc Sci"
IT & Engineering,MIREA ï¿½ Russian Technological University,Moscow,75,Yes,Tech & IT oriented programs with labs.,"Jan, July",Morning,Yes,"CS, IT, Tech Eng"
"Life Sci, Medical",Bashkir State Medical University,Ufa,75,Yes,Medicine and health science degrees.,"Jan, July",Morning,Limited,"Medicine, Pharmacy"
Engineering,Industrial University of Tyumen,Tyumen,68,Yes,Engineering and industrial tech programs.,"Jan, July",Morning,Some,"Eng, Mech"
"Engineering, Tech",Izhevsk State Technical University (ISTU),Izhevsk,65,Yes,Technical programs in mechanics and electronics.,"Jan, July",Morning,Some,"Elec Eng, Mech Eng"
"Engineering, IT",Kalashnikov Izhevsk State Technical University,Izhevsk,65,Yes,Technical and applied engineering.,"Jan, July",Morning,Some,"Eng, IT"
Engineering,Omsk State Technical University,Omsk,68,Yes,Tech and engineering courses with labs.,"Jan, July",Morning,Some,"Eng, Elec Eng"
Engineering,National Research Tomsk Polytechnic University,Tomsk,78,Yes,Research tech university with labs.,"Jan, July",Morning,Some,"Eng, CS"
Engineering,Irkutsk National Research Technical University,Irkutsk,72,Yes,Engineering and applied sciences.,"Jan, July",Morning,Some,"Mech Eng, CS"
Engineering,Kurgan State University,Kurgan,60,Yes,Regional university with engineering.,"Jan, July",Morning,Yes,"Eng, Econ"
Engineering,Lipetsk State Technical University,Lipetsk,62,Yes,Tech and engineering programs.,"Jan, July",Morning,Some,"Eng, Mech"
Engineering,Omsk State University,Omsk,65,Yes,Regionally broad programs including tech.,"Jan, July",Morning,Yes,"Econ, CS, Eng"
General Multi?Disciplinary,Volgograd State University,Volgograd,65,Yes,Broad programs across disciplines.,"Jan, July",Morning,Yes,"Econ, Law, Sci"
Arts & Humanities,Moscow State Art and Cultural University,Moscow,60,Some,"Arts, culture management & humanities.","Jan, July",Morning,Yes,"Arts, Culture Mgmt"
Education & Pedagogy,Perm State Pedagogical University,Perm,60,Yes,Pedagogy & teacher training.,"Jan, July",Morning,Yes,"Edu, Psych"
General,Chuvash State University,Cheboksary,60,Yes,Broad regional university programs.,"Jan, July",Morning,Yes,"Econ, CS, Law"
IT & Eng,Moscow Aviation Institute (MAI),Moscow,75,Yes,Aerospace engineering and technology with labs.,"Jan, July",Morning,Some,"Aero Eng, CS"
Science & IT,Saint Petersburg State Electrotechnical University (LETI),Saint Petersburg,75,Yes,Electrical engineering & IT.,"Jan, July",Morning,Some,"Elec Eng, CS"
Engineering,Kaluga Branch of Bauman Moscow State Technical University,Kaluga,72,Yes,Engineering & tech programs.,"Jan, July",Morning,Some,Mech Eng
Engineering,Magnitogorsk State Technical University,Magnitogorsk,65,Yes,Engineering with industry focus.,"Jan, July",Morning,Some,"Eng, Mech"
Engineering,Omsk State Transport University,Omsk,62,Yes,Transportation & infrastructure engineering.,"Jan, July",Morning,Some,Transport Eng
Engineering,Kazan State Power Engineering University,Kazan,70,Yes,Power & electrical engineering.,"Jan, July",Morning,Some,"Power Eng, Elec"
Engineering,Kazan National Research Technical University named after A.N. Tupolev,Kazan,75,Yes,High?tech engineering with labs.,"Jan, July",Morning,Some,"Aero, Mech"
Engineering,Siberian State University of Water Transport,Novosibirsk,60,Yes,Water transport & logistics.,"Jan, July",Morning,Some,"Transp, Log"
Engineering,Northeastern Federal University,Yakutsk,65,Yes,Regional federal university with engineering & science.,"Jan, July",Morning,Yes,"Eng, Sci"
Engineering,Far Eastern Federal University (FEFU),Vladivostok,75,Yes,Comprehensive federal institution.,"Jan, July",Morning,Yes,"Eng, Econ, Sci"
Pedagogy & Humanities,Far Eastern State University of Humanities,Khabarovsk,60,Yes,Humanities & language programs.,"Jan, July",Morning,Yes,"Lang, Hum"
Engineering,Moscow State University of Railway Engineering (MIIT),Moscow,70,Yes,Railway & transport engineering.,"Jan, July",Morning,Some,"Transp Eng, Log"
Life Sci,Bashkir State University,Ufa,65,Yes,Broad multidisciplinary with life sciences.,"Jan, July",Morning,Yes,"Bio Sci, Econ"
General,North Ossetian State University,Vladikavkaz,60,Yes,Regional comprehensive programs.,"Jan, July",Morning,Yes,"Soc Sci, Law"
Engineering,Republican North Ossetian State University,Vladikavkaz,60,Yes,Multidisciplinary including tech.,"Jan, July",Morning,Yes,"Eng, Law"
Engineering,Moscow State University of Civil Engineering (MGSU),Moscow,70,Yes,Civil & infrastructure engineering.,"Jan, July",Morning,Some,"Civil Eng, Arch"
General,Lipetsk State University,Lipetsk,60,Yes,Regional broad programs.,"Jan, July",Morning,Yes,"Econ, CS"
General,Ryazan State University,Ryazan,60,Yes,Multi?field university.,"Jan, July",Morning,Yes,"Econ, Law"
General,Kostroma State University,Kostroma,60,Yes,Regional comprehensive programs.,"Jan, July",Morning,Yes,"Sci, Soc Sci"
"Engineering, Science",Krasnoyarsk State Pedagogical University,Krasnoyarsk,60,Yes,"Teacher training, humanities, sciences & education programs.","Jan, July, Aug",Morning,Yes,"BA Education, Science, Lang"
"Engineering, IT",Krasnoyarsk State Technical University,Krasnoyarsk,65,Yes,Technical engineering and applied sciences.,"Jan, July",Morning,Some,"Eng, Elec Eng, CS"
General,Krasnoyarsk State University,Krasnoyarsk,65,Yes,Comprehensive academic programs across sciences & arts.,"Jan, July",Morning,Yes,"Econ, CS, Sci"
General,Ingush State University,Magas,60,Yes,Wide range of faculties from law to medicine and sciences. (Wikipedia),"Jan, July",Morning,Yes,"Law, Econ, Med, Sci"
"Engineering, Social Sci",Kalmyk State University,Elista,58,Yes,Regional multidisciplinary university.,"Jan, July, Aug",Morning,Yes,"Sci, Soc Sci, Econ"
Engineering,Khibiny State Technical University,Kirovsk,60,Yes,Technical and engineering programs.,"Jan, July",Morning,Some,"Mech, Elec, CS"
Engineering,Komi State Pedagogical Institute,Syktyvkar,60,Yes,Teacher education & pedagogy.,"Jan, July",Morning,Yes,"Education, Lang"
General,Komi State University,Syktyvkar,62,Yes,Broad programs across fields including sciences & arts.,"Jan, July",Morning,Yes,"Econ, Sci, Soc Sci"
Engineering,Kostroma State Technological University,Kostroma,60,Yes,Tech and engineering with labs.,"Jan, July",Morning,Some,"Eng, CS"
General,Kostroma State University,Kostroma,60,Yes,Regional multidisciplinary programs.,"Jan, July",Morning,Yes,"Sci, Law, Econ"
"Engineering, IT",Kurgan State University,Kurgan,60,Yes,Applied sciences and engineering.,"Jan, July",Morning,Yes,"Eng, Econ"
Engineering,Kursk State Technical University,Kursk,62,Yes,Technical engineering programs.,"Jan, July",Morning,Some,"Eng, Elec"
General,Kursk State University,Kursk,60,Yes,"Comprehensive science, humanities & econ.","Jan, July",Morning,Yes,"Sci, Econ, Law"
Engineering,Lipetsk State Technical University,Lipetsk,62,Yes,Technical and applied programs.,"Jan, July",Morning,Some,"Eng, Tech"
General,Lipetsk State University,Lipetsk,60,Yes,Multi?disciplinary university.,"Jan, July",Morning,Yes,"Econ, CS, Sci"
Engineering,Magadan State Technical University,Magadan,60,Yes,Engineering and applied tech.,"Jan, July",Morning,Some,"Mech, CS"
General,Magnitogorsk State University,Magnitogorsk,60,Yes,Broad programs including engineering and sciences.,"Jan, July",Morning,Yes,"Sci, Econ, Eng"
Engineering,Maykop State Technological University,Maykop,60,Yes,Applied sciences and engineering.,"Jan, July",Morning,Some,"Tech, Eng"
Engineering,Murmansk State Technical University,Murmansk,60,Yes,Technical programs with labs.,"Jan, July",Morning,Some,"Eng, CS"
General,Murmansk Arctic University,Murmansk,60,Yes,Multidisciplinary with Arctic studies focus.,"Jan, July",Morning,Yes,"Sci, Social Sci"
Engineering,Novgorod State University,Veliky Novgorod,60,Yes,Broad academic and applied programs.,"Jan, July",Morning,Yes,"Econ, Sci, Law"
Engineering,Orel State University,Orel,60,Yes,Multi?faculty university.,"Jan, July",Morning,Yes,"Sci, Econ, Law"
Engineering,Orenburg State Technical University,Orenburg,62,Yes,Tech & engineering labs.,"Jan, July",Morning,Some,"Eng, CS"
General,Orenburg State University,Orenburg,62,Yes,Regional comprehensive university.,"Jan, July",Morning,Yes,"Sci, Econ, Law"
Engineering,Penza State University,Penza,60,Yes,Engineering & sciences programs.,"Jan, July",Morning,Yes,"Eng, CS, Sci"
Engineering,Penza State Technological University,Penza,60,Yes,Tech and applied sciences.,"Jan, July",Morning,Some,"Tech, Eng"
General,Pskov State University,Pskov,60,Yes,Broad programs across fields.,"Jan, July",Morning,Yes,"Econ, Sci, Law"
"Engineering, Maritime",Saint Petersburg State Marine Technical University,Saint Petersburg,65,Yes,Marine engineering & tech.,"Jan, July",Morning,Some,Marine Eng
Engineering,Saint Petersburg State University of Film and Television,Saint Petersburg,58,Some,"Film, TV, media & tech.","Jan, July",Morning,Yes,"Media, Art & Tech"
Engineering,Saint Petersburg State University of Refrigeration and Food Engineering,Saint Petersburg,60,Yes,Food engineering and applied sciences.,"Jan, July",Morning,Some,Food Eng
General,Smolensk State University,Smolensk,60,Yes,Regional broad programs.,"Jan, July",Morning,Yes,"Sci, Econ, Law"
Health Sci,Smolensk State Medical University,Smolensk,70,Yes,Medical & health science degrees.,"Jan, July",Morning,Some,"Medicine, Pharmacy"
Engineering,Sokol State Technical University,Sokol,60,Yes,Technical applied engineering.,"Jan, July",Morning,Some,"Eng, Tech"
Engineering & IT,Tambov State Technical University,Tambov,60,Yes,Engineering & tech programs.,"Jan, July",Morning,Some,"Eng, IT"
General,Tambov State University named after G.R. Derzhavin,Tambov,60,Yes,Comprehensive higher education.,"Jan, July",Morning,Yes,"Sci, Econ, Law"
Engineering,Tver State Technical University,Tver,60,Yes,Engineering & technical education.,"Jan, July",Morning,Some,"Eng, CS"
Health Sci,Tver State Medical University,Tver,70,Yes,Medical & allied health degrees.,"Jan, July",Morning,Some,"Medicine, Dentistry"
General,Tyumen State University,Tyumen,62,Yes,Broad multidisciplinary degrees.,"Jan, July",Morning,Yes,"Sci, Econ, CS"
Engineering,Ufa State Aviation Technical University,Ufa,65,Yes,Aviation & aerospace engineering.,"Jan, July",Morning,Some,Aero Eng
Engineering,Ufa State Petroleum Technological University,Ufa,65,Yes,"Oil, petroleum & chemical engineering.","Jan, July",Morning,Some,Petro Eng
General,Ulyanovsk State University,Ulyanovsk,65,Yes,Multidisciplinary with sciences & social sciences. (Wikipedia),"Jan, July",Morning,Yes,"Econ, Sci, Law"
Engineering,Vladimir State University,Vladimir,58,Yes,Regional comprehensive programs.,"Jan, July",Morning,Yes,"Sci, Law"
General,Voronezh State University,Voronezh,65,Yes,Broad academic & research programs.,"Jan, July",Morning,Yes,"Sci, Econ, Law"
Engineering,Voronezh State Technical University,Voronezh,62,Yes,Tech and engineering labs.,"Jan, July",Morning,Some,"Eng, Elec"
General,Yaroslavl State University,Yaroslavl,60,Yes,Multidisciplinary with research focus.,"Jan, July",Morning,Yes,"Sci, Econ, Law"
Engineering,Yaroslavl State Technical University,Yaroslavl,62,Yes,Engineering and applied sciences.,"Jan, July",Morning,Some,"Eng, CS"
"Engineering, IT",Adyghe State University of Technology and Engineering,Maykop,60,Yes,"Engineering, IT, and applied sciences programs.","Jan, July",Morning,Some,"Eng, CS, Tech"
General,Altai State University,Barnaul,60,Yes,"Multidisciplinary university covering sciences, humanities, and management.","Jan, July",Morning,Yes,"Sci, Econ, Law"
Engineering,Altai State Technical University,Barnaul,62,Yes,"Technical, mechanical, and applied engineering programs.","Jan, July",Morning,Some,"Eng, Elec Eng, CS"
Life Sciences,Altai State Medical University,Barnaul,70,Yes,Medical and healthcare programs including nursing and pharmacy.,"Jan, July",Morning,Limited,"Medicine, Pharm, DPT"
Engineering,Arkhangelsk State Technical University,Arkhangelsk,65,Yes,Technical and applied sciences with labs.,"Jan, July",Morning,Some,"Eng, Mech, CS"
General,Arkhangelsk State University,Arkhangelsk,60,Yes,"Regional university with diverse programs in sciences, arts, and management.","Jan, July",Morning,Yes,"Sci, Econ, Law"
Engineering,Astrakhan State Technical University,Astrakhan,62,Yes,Technical and engineering education with labs.,"Jan, July",Morning,Some,"Eng, Elec, CS"
Life Sciences,Astrakhan State Medical University,Astrakhan,70,Yes,"Medical programs including general medicine, nursing, and pharmacy.","Jan, July",Morning,Limited,"Medicine, Pharm, Nursing"
General,Astrakhan State University,Astrakhan,60,Yes,"Multidisciplinary programs including engineering, management, and sciences.","Jan, July",Morning,Yes,"Econ, Sci, Law"
Engineering,Bashkir State University of Engineering,Ufa,65,Yes,Applied engineering and technical programs.,"Jan, July",Morning,Some,"Eng, Mech, CS"
Life Sciences,Bashkir State Medical University,Ufa,75,Yes,Medical and health sciences programs.,"Jan, July",Morning,Limited,"Medicine, Pharmacy, DPT"
Engineering,Belgorod State Technological University,Belgorod,62,Yes,Technical and engineering programs with labs.,"Jan, July",Morning,Some,"Eng, Tech, CS"
General,Belgorod State University,Belgorod,60,Yes,"Comprehensive programs in sciences, management, and social sciences.","Jan, July",Morning,Yes,"Econ, Sci, Law"
Engineering,Bryansk State Technical University,Bryansk,60,Yes,Applied engineering programs with practical labs.,"Jan, July",Morning,Some,"Eng, Mech, CS"
General,Bryansk State University,Bryansk,60,Yes,"Regional multidisciplinary programs covering humanities, sciences, and management.","Jan, July",Morning,Yes,"Sci, Econ, Law"
Engineering,Chelyabinsk State University of Technology,Chelyabinsk,62,Yes,Applied technical and engineering programs.,"Jan, July",Morning,Some,"Eng, CS, Mech"
